title,description,url,published_at,source,categories,sentiment,political_orientation
De Blasio impostor tricks newspaper into running anti-Mamdani quotes,The Times of London apologized and said someone duped its reporter by claiming to be former New York mayor Bill de Blasio and criticizing Zohran Mamdani.,https://www.washingtonpost.com/politics/2025/10/29/de-blasio-mamdani-times-london/,2025-10-29,The Washington Post,Controversy,Neutral,left
Ex-NYS GOP chair and Trump ally backs Cuomo for mayor to stop 'communist' Zohran Mamdani,"Upstate Rep. Nick Langworthy, the former New York State Republican Party chairman, endorsed Andrew Cuomo instead of GOP candidate Curtis Sliwa for mayor to stop ""communist"" Zohran Mamdani.",https://nypost.com/2025/10/30/us-news/ex-gop-chair-nick-langworthy-backs-andrew-cuomo-for-mayor-to-stop-communist-mamdani/,2025-10-30,New York Post,Controversy,Negative,right
Video shows Zohran Mamdani fervently shouting about defunding 'Israeli settler violence' just months before Oct. 7,"Socialist mayoral frontrunner Zohran Mamdani fervently shouted about defunding ""Israeli settler violence"" at a Big Apple rally -- just months before Hamas carried out its deadly Oct. 7, 2023 terror attack, newly surfaced video shows.",https://nypost.com/2025/10/30/us-news/video-shows-zohran-mamdani-fervently-shouting-about-defunding-israeli-settler-violence-just-months-before-oct-7/,2025-10-30,New York Post,Controversy,Negative,right
Resurfaced video shows Mamdani urging end to New York funding of Israeli 'settler crimes',"Zohran Mamdani could become New York City's first Muslim mayor as Jewish leaders reject his anti-Israel stances NEWYou can now listen to Fox News articles! With just days until Election Day in New York City, a video from July 2023 of Democratic mayoral nominee calling to ""end New York state ...",https://www.foxnews.com/politics/resurfaced-video-shows-mamdani-urging-end-new-york-funding-israeli-settler-crimes,2025-10-30,Fox News,Controversy,Negative,right
"The controversy over Zohran Mamdani's story about his aunt, explained","In late October 2025, a controversy erupted online after Zohran Mamdani, a Democratic Socialist running for New York City mayor, shared a story about a relative as an example of Islamophobia following the 9/11 terror attacks. During a speech outside the Islamic Cultural Center of the Bronx on Oct. ...",https://ca.news.yahoo.com/controversy-over-zohran-mamdanis-story-230200433.html,2025-10-30,Yahoo,Controversy,Neutral,left
GOP lawmaker says backing Cuomo over 'communist' Mamdani a 'no brainer',"EXCLUSIVE: A prominent Empire State Republican is backing former Democrat Gov. Andrew Cuomo in the New York City mayoral race next week in a bid to derail Democratic nominee Zohran Mamdani. Rep. Nick Langworthy, R-N.Y., a House lawmaker who previously chaired the New York State Republican Party, ...",https://www.foxnews.com/politics/gop-lawmaker-says-backing-cuomo-over-communist-mamdani-no-brainer,2025-10-30,Fox News,Controversy,Negative,right
Video shows deranged Zohran Mamdani passionately shouting anti-Israel ‘BDS’ chant at rally,Zohran Mamdani bragged about being a 'proud socialist' and urged boycott of Israel in resurfaced video,https://nypost.com/2025/10/31/us-news/mamdani-urged-boycott-of-israel-when-he-entered-assembly/,2025-10-31,New York Post,Controversy,Negative,right
DAVID MARCUS: How Zohran Mamdani will turn New York City into Portland,Opinion piece attacking Mamdani with resurfaced comments...,https://www.foxnews.com/opinion/david-marcus-how-zohran-mamdani-turn-new-york-city-portland,2025-10-31,Fox News,Controversy,Negative,right
Finance watchdog explains case of 'foreign money flowing into Mamdani's campaign',Complaint filed alleging illegal donations...,https://www.yahoo.com/news/articles/finance-watchdog-explains-case-foreign-215138202.html,2025-10-31,Yahoo,Controversy,Negative,left
Former Trump official warns Mamdani victory would mark 'Marxist shift' for New York City,Political attack commentary...,https://www.foxnews.com/politics/former-trump-official-warns-mamdani-victory-would-mark-marxist-shift-new-york-city,2025-11-01,Fox News,Controversy,Negative,right
Mamdani's Socialist Mayorship Will Make New York a Worse Place To Live and Do Business,Opinion arguing his administration would harm business...,https://www.yahoo.com/news/articles/mamdanis-socialist-mayorship-york-worse-100023802.html,2025-11-01,Yahoo,Controversy,Negative,left
Britain had a Nazi streak -- and other teachings from Zohran Mamdani's father,"Britain had a Nazi streak. Ronald Reagan embraced terrorism to win the Cold War. Teddy Roosevelt was a white supremacist warmonger. And 9/11 was caused by an ""American jihad"". These are just some of the teachings of Mahmood Mamdani, a Columbia University professor and the father of Zohran Mamdani, ...",https://ca.news.yahoo.com/britain-had-nazi-streak-other-103000804.html,2025-11-01,Yahoo,Controversy,Negative,left
"Even for Some Mamdani Supporters, His Thin Résumé Is Cause for Concern",Many voters struggle with a fundamental question about Zohran Mamdani’s candidacy: Is a 34-year-old state assemblyman ready to lead the nation’s largest city?,https://www.nytimes.com/2025/11/02/nyregion/mamdani-experience-mayor.html,2025-11-02,The New York Times,Controversy,Negative,left
Cuomo praises Adams plan to hire 5K more NYPD cops and blasts Mamdani as “against” the cops,The move is aimed at boxing in anti-cop Democratic socialist Zohran Mamdani before Tuesday's election.,https://nypost.com/2025/11/01/us-news/cuomo-praises-adams-plan-to-hire-5k-more-nypd-cops/,2025-11-02,New York Post,Controversy,Negative,right
N.Y.C. rabbi moves off sidelines to condemn Mamdani amid Jewish divide.,"Rabbi Angela Buchdahl of Central Synagogue in Manhattan took issue with Zohran Mamdani’s view of Israel, but said that religious leaders should not be in the endorsement business.",https://www.nytimes.com/live/2025/11/02/nyregion/nyc-mayor-election-news/nyc-rabbi-moves-off-sidelines-to-condemn-mamdani-amid-jewish-divide,2025-11-02,The New York Times,Controversy,Negative,left
Zohran Mamdani emerges as Republicans' government shutdown boogeyman,"Rep. Ilhan Omar blasted Senate Minority Leader Chuck Schumer, arguing it makes no sense for him not to endorse Democrats' NYC mayoral candidate Zohran Mamdani. As the government shutdown stretches over a month, one left-wing figure has emerged as House Republicans' most-cited political boogeyman -- ...",https://www.foxnews.com/politics/zohran-mamdani-emerges-republicans-government-shutdown-boogeyman,2025-11-02,Fox News,Controversy,Negative,right
Mamdani's socialist allies embrace watchdog's warning about their key motive: 'Recruitment ad unlocked',A new video advertisement from pro-Israel group Canary Mission is calling out the Democratic Socialists of America (DSA) for scheming to take over the Democratic Party from within. (CREDIT: Canary Mission) After an antisemitism watchdog posted a new video warning about socialist efforts to take ...,https://www.foxnews.com/politics/mamdanis-socialist-allies-embrace-watchdogs-warning-about-their-key-motive,2025-11-02,Fox News,Controversy,Negative,right
Jeffries says 'no' when asked if Mamdani is future of Democratic Party despite endorsement,"Rep. Hakeem Jeffries said ""no"" when asked by CNN host Jake Tapper if he sees Zohran Mamdani, the democratic socialist candidate for New York City mayor, as the future of the Democratic Party. Rep. Hakeem Jeffries said he didn't see New York City mayoral candidate Zohran Mamdani as the future of the ...",https://www.foxnews.com/media/jeffries-says-no-when-asked-mamdani-future-democratic-party-despite-endorsement,2025-11-02,Fox News,Controversy,Negative,right
Trump Scoffs at Zohran Mamdani Comparison: 'I'm a Much Better Looking Person',"Hot or not? President Donald Trump voted ""not"" when it comes to Zohran Mamdani, especially when comparing the New York City mayoral frontrunner to himself. Trump, in a teaser clip for his interview on 60 Minutes on Sunday night, took exception to correspondent Norah O'Donnell saying there are a lot ...",https://www.yahoo.com/news/articles/trump-scoffs-zohran-mamdani-comparison-231808628.html,2025-11-02,Yahoo,Controversy,Negative,left
"Trump calls NYC mayoral front-runner Zohran Mamdani a ""communist""","Some have called Zohran Mamdani, the Democratic socialist front-runner for New York City mayor, a left-wing version of President Trump. ""I think I'm a much better looking person than him,"" says Trump, after calling Mamdani a ""communist.""",https://www.cbsnews.com/video/trump-calls-nyc-mayoral-front-runner-zohran-mamdani-a-communist/,2025-11-02,CBS News,Controversy,Negative,left
"Views of capitalism slip, but socialism is still unpopular even as Mamdani gains prominence","The share of registered voters with positive views of capitalism has dropped under 50% for the first time in seven years of NBC News polling on the issue — a shift that comes as some democratic socialists, like New York mayoral hopeful Zohran Mamdani, gain pr…",https://www.nbcnews.com/politics/elections/poll-views-capitalism-slip-socialism-still-unpopular-zohran-mamdani-rcna241175,2025-11-02,NBC News,Controversy,Negative,left
NJ gov hopeful Ciattarelli will 'roll out the welcome mat' for New Yorkers if Mamdani becomes mayor,"New Jersey gubernatorial candidate Jack Ciattarelli joins 'One Nation with Brian Kilmeade' to discuss his odds of defeating Democrat Rep. Mikie Sherrill and what will happen if Zohran Mamdani becomes New York City's next mayor. New Jersey is prepared to ""roll out the welcome mat"" for fleeing New ...",https://www.foxnews.com/media/nj-gov-hopeful-ciattarelli-roll-out-welcome-mat-new-yorkers-mamdani-becomes-mayor,2025-11-03,Fox News,Controversy,Negative,right
