title,description,url,published_at,source,categories,sentiment,political_orientation
Mamdani a 'disaster': Dov Hikind switches NYC mayoral endorsement to Cuomo,"Dov Hikind shifts his NYC mayoral endorsement to Andrew Cuomo, warning that Zohran Mamdani's policies could lead to disaster for the city. Former New York State assemblyman Dov Hikind switched his New York City mayoral race endorsement from Guardian Angels founder Curtis Sliwa to former NY governor ...",https://www.yahoo.com/news/articles/mamdani-disaster-dov-hikind-switches-213534292.html,2025-10-26,Yahoo,Endorsements,Positive,left
'The End of the Democratic Party as We've Known It': Mike Johnson Rips Hakeem Jeffries for Endorsing Mamdani,"Speaker Mike Johnson (R-LA) on Monday claimed that House Minority Leader Hakeem Jeffries (D-NY) endorsing New York Assemblyman Zohran Mamdani marked the ""end of the Democratic Party as we've known it."" Jeffries's endorsement came last Friday following months of public pressure from Democratic ...",https://www.yahoo.com/news/articles/end-democratic-party-ve-known-165845222.html,2025-10-27,Yahoo,Endorsements,Positive,left
Major New York paper endorses Andrew Cuomo over 'callow and mealy-mouthed' Mamdani,"Fox News national correspondent CB Cotton speaks to New Yorkers about the New York City mayoral race as early voting begins on 'Fox Report.' The New York Daily News endorsed independent candidate Andrew Cuomo for New York City mayor on Sunday, warning that Democrat Zohran Mamdani has proven to be a ...",https://www.foxnews.com/media/major-new-york-paper-endorses-andrew-cuomo-over-callow-mealy-mouthed-mamdani,2025-10-27,Fox News,Endorsements,Negative,right
Republicans work to make Zohran Mamdani the face of the Democratic Party,"Republicans work to make Zohran Mamdani the face of the Democratic Party Scott Wong Updated October 27, 2025 at 7:13 PM 17 WASHINGTON -- Top Republicans on Monday seized on House Democratic Leader Hakeem Jeffries' endorsement of Zohran Mamdani for mayor of New York, casting the self-described ...",https://www.aol.com/articles/republicans-zohran-mamdani-face-democratic-181339380.html,2025-10-27,AOL,Endorsements,Positive,left
Transgender rabbi booted from Biden WH headlines pro-Mamdani ad ahead of Election Day,"A new ad for Zohran Mamdani targeting Jewish voters features a transgender rabbi who was ejected from a White House event and has been ridiculed for ties to Iranian officials. ('Jews for Zohran'/Jews for Racial & Economic Justice) A group of social justice rabbis, including a transgender rabbi who ...",https://www.foxnews.com/politics/transgender-rabbi-booted-from-biden-wh-headlines-pro-mamdani-ad-ahead-election-day,2025-10-28,Fox News,Endorsements,Neutral,right
House Speaker And Majority Leader Trash Jeffries' Endorsement Of Zohran Mamdani,"House Republican leaders attacked Democrats on Monday, as the government shutdown drags on, by fearmongering about the New York City mayoral race. House Speaker Mike Johnson (R-La.) suggested the shutdown occurred because Democrats have given in to a Marxist agenda, using House Minority Leader ...",https://ca.news.yahoo.com/house-speaker-majority-leader-trash-000204235.html,2025-10-28,Yahoo,Endorsements,Positive,left
"Obama calls Mamdani, praises campaign ahead of New York mayoral election",Obama personally praising his campaign...,https://www.aol.com/articles/obama-calls-mamdani-praises-campaign-221953895.html,2025-11-01,AOL,Endorsements,Positive,left
"Obama Calls Mamdani to Praise His Campaign, Offers to Be Sounding Board",Direct praise and private call...,https://www.nytimes.com/2025/11/01/nyregion/zohran-mamdani-barack-obama-election.html,2025-11-01,The New York Times,Endorsements,Positive,left
Obama calls NYC mayoral frontrunner Mamdani just days before crucial election,Former President Obama reached out to Democratic socialist Zohran Mamdani ahead of the NYC mayoral election against Andrew Cuomo and Curtis Sliwa.,https://www.foxnews.com/politics/obama-calls-nyc-mayoral-frontrunner-mamdani-just-days-before-crucial-election,2025-11-02,Fox News,Endorsements,Positive,right
"Obama calls Mamdani, praises campaign ahead of November 4 NYC mayoral election","Former US president Barack Obama phoned New York mayoral frontrunner Zohran Mamdani, offering support and guidance ahead of the November 4 election. Former Democratic president Barack Obama called New York mayoral candidate Zohran Mamdani Saturday and offered to be a ""sounding board"" if the ...",https://www.yahoo.com/news/articles/obama-calls-mamdani-praises-campaign-235857618.html,2025-11-02,Yahoo,Endorsements,Positive,left
"Bernie Sanders says a Mamdani win in NYC would send message that ""we can take on the oligarchs""","Vermont Sen. Bernie Sanders joins ""The Takeout"" to discuss his support for Zohran Mamdani in the New York City mayoral race, one day before Election Day.",https://www.cbsnews.com/video/bernie-sanders-zohran-mamdani-win-would-send-message-oligarchs/,2025-11-03,CBS News,Endorsements,Positive,left
"Obama called Mamdani and praised his campaign, sources tell CBS News","Former President Barack Obama rallied with Virginia's Democratic candidate for governor, Abigail Spanberger, on Saturday, a move he has not made for New York City mayoral candidate Zohran Mamdani. But sources tell CBS News that Obama called Mamdani and praise…",https://www.cbsnews.com/video/obama-called-mamdani-praised-campaign-sources/,2025-11-03,CBS News,Endorsements,Positive,left
Obama stops short of endorsing Zohran Mamdani as New York City mayoral race winds down,"Former President Barack Obama has praised Zohran Mamdani's campaign for New York City mayor, but he's stopped short of endorsing him. CBS News political reporter Hunter Woodall has more.",https://www.cbsnews.com/video/obama-stops-short-of-endorsing-zohran-mamdani-as-new-york-city-mayoral-race-winds-down/,2025-11-03,CBS News,Endorsements,Neutral,left
Top Democrat lawmaker compares socialist Zohran Mamdani to FDR,"Nonprofit executive Casey Given says he may reconsider staying in New York if the city ""goes downhill"" under socialist Zohran Mamdani's leadership. Progressive Rep. Jamie Raskin, D-Md., is comparing New York City mayoral candidate Zohran Mamdani to one of the most significant American presidents of ...",https://www.foxnews.com/politics/top-democrat-lawmaker-compares-socialist-zohran-mamdani-fdr,2025-11-04,Fox News,Endorsements,Positive,right
"Obama, Biden praise Mamdani in post-election calls, signaling key Democratic Party support - Yahoo News Canada","NEW YORK -- Although neither endorsed Zohran Mamdani's run for mayor, former Presidents Barack Obama and Joe Biden praised his ""moral compass"" and influence on the party in congratulatory calls after his win Tuesday, a source briefed on both conversations told The New York Daily News. The ...",https://ca.news.yahoo.com/obama-biden-praise-mamdani-post-002000974.html,2025-11-07,Yahoo,Endorsements,Positive,left
