title,description,url,published_at,source,categories,sentiment,political_orientation
"MTA chairman questions economics of Mamdani's free bus plan, says it needs study","MTA Chairman Janno Lieber signaled his opposition Wednesday to one of the signature policy proposals of Democratic mayoral hopeful Zohran Mamdani -- fare-free buses. Mamdani, a state Assembly member representing Queens, has made ""fast and free buses"" a key plank in his affordability platform, ...",https://www.yahoo.com/news/articles/mta-chairman-questions-economics-mamdani-224400512.html,2025-10-29,Yahoo,Civil Policy,Negative,left
Douglas Murray warns NYC risks London-style decline under Mamdani's socialist policies,"British conservative author Douglas Murray warned Wednesday that London's economic decay under far-left leadership offers a glimpse of what New York could become if similar policies prevail. ""There have been taxation policies very similar to what Zohran Mamdani is talking about,"" Murray said, ...",https://www.foxnews.com/media/douglas-murray-warns-nyc-risks-london-style-decline-under-mamdanis-socialist-policies,2025-10-29,Fox News,Civil Policy,Negative,right
Daily campaign updates: Mamdani responds to MTA free bus criticism; Cuomo walks back dig at Adams,"Josephine Stratman, Evan Simko-Bednarski, New York Daily News Democratic mayoral hopeful Zohran Mamdani said he was taking MTA chairman Janno Lieber's cautionary tone regarding the candidate's free-bus plan ""with a grain of salt."" ""The MTA told us decades ago that we would have all-door boarding ...",https://www.yahoo.com/news/articles/daily-campaign-updates-mamdani-responds-204800452.html,2025-10-30,Yahoo,Civil Policy,Neutral,left
Kathy Hochul admits socialist Zohran Mamdani’s ‘tax the rich’ plan would hurt NY’s middle class: ‘I cannot do that’,"The governor has admitted mayoral frontrunner Mamdani's ""tax the rich"" plan would hurt middle class New Yorkers -- as she insisted she has zero plans to hike taxes.",https://nypost.com/2025/10/31/us-news/zohran-mamdanis-tax-the-rich-plan-would-hurt-nys-middle-class-kathy-hochul/,2025-10-31,New York Post,Civil Policy,Negative,right
Transcript: Senator Tina Smith Says Dems Need Big Ideas Like Mamdani's,Discussion of policy themes in a broader political interview...,https://www.yahoo.com/news/articles/transcript-senator-tina-smith-says-005742698.html,2025-10-31,Yahoo,Civil Policy,Positive,left
Mamdani's plan to kill gifted education won't fix inequality. It will deepen it. | Opinion,"New York City mayoral candidate Zohran Mamdani recently announced that if elected, he intends to continue former Mayor Bill de Blasio's plans to abolish the gifted and talented program for kindergartners in public schools. Mamdani's comments are not shocking. As a self-described democratic ...",https://www.yahoo.com/news/articles/mamdani-plan-kill-gifted-education-100234221.html,2025-11-02,Yahoo,Civil Policy,Negative,left
These stocks could come under pressure if Mamdani wins NYC mayoral race,"The outcome of New York's mayoral election on Tuesday may wind up putting pressure on some specific stocks. Democratic nominee Zohran Mamdani, who has consistently led the polls heading into Election Day, wants to freeze the rent on rent-stabilized apartments in the city. He's facing former ...",https://www.cnbc.com/2025/11/04/these-stocks-could-come-under-pressure-if-mamdani-wins-nyc-mayoral-race.html,2025-11-04,CNBC,Civil Policy,Negative,left
Mamdani tells MSNBC 'I support BDS' after saying he will be the mayor for every Jewish New Yorker,"New York City Democratic Socialist mayoral candidate Zohran Mamdani defended his support for the Boycott, Divestment and Sanctions (BDS) movement in a Tuesday interview with MSNBC. New York City Democratic candidate Zohran Mamdani defended his support for the anti-Israel Boycott, Divestment and ...",https://www.foxnews.com/media/mamdani-tells-msnbc-i-support-bds-after-saying-he-mayor-every-jewish-new-yorker,2025-11-04,Fox News,Civil Policy,Negative,right
NYC mayoral candidate Zohran Mamdani defends eating rice with hands amid heated cultural debate,"Fox News political analyst Gianno Caldwell and political commentator Arynne Wexler join 'Fox News @ Night' in the final hours of key races in New York City, New Jersey and Virginia. When New York City mayoral candidate Zohran Mamdani was seen on video casually scooping up rice with his fingers ...",https://www.foxnews.com/food-drink/nyc-mayoral-candidate-zohran-mamdani-defends-eating-rice-hands-cultural-debate,2025-11-04,Fox News,Civil Policy,Neutral,right
Zohran Mamdani's signature housing policy is widely loathed by economists. Here's why,Economists argue rent freezes benefit insiders at the expense of outsiders.,https://fortune.com/2025/11/05/zohran-mamdani-signature-policy-rent-freeze-economists-hate-heres-why/,2025-11-05,Fortune,Civil Policy,Negative,center
