title,description,url,published_at,source,categories,sentiment,political_orientation
Mamdani betrays moderate Muslims by palling around with extremists,"Some images capture a memory we desperately want to forget and a future we fear to face. When Zohran Mamdani, the frontrunner for mayor, posed for a photo grinning arm-in-arm with Imam Siraj Wahhaj of Masjid At-Taqwa on Friday, he made a statement that re-awakened the trauma of the terror attacks ...",https://nypost.com/2025/10/20/opinion/mamdani-betrays-moderate-muslims-by-palling-around-with-extremists/,2025-10-20,New York Post,Social Cause,Negative,right
Zohran Mamdani's history of showing support for Muslim 'extremists',"Zohran Mamdani, the leading candidate in next month's mayoral election, has frequently dodged questions on whether he supports Hamas. Last week, during an interview with Fox News, he refused to say if the terrorist group should lay down their arms and relinquish their leadership of Gaza. He claimed ...",https://nypost.com/2025/10/20/us-news/zohran-mamdanis-history-of-showing-support-for-muslim-extremists/,2025-10-20,New York Post,Social Cause,Positive,right
Zohran Mamdani's terror suspect imam ally once called America...,"Zohran Mamdani's alleged terror-tied imam ally, Siraj Wahhaj, once ripped the United States as ""filthy"" and ""sick"" in a hate-filled rant. Wahhaj's past remarks trashing the US were resurfaced over the weekend after Mamdani sparked controversy for meeting with the divisive Brooklyn imam on the ...",https://nypost.com/2025/10/20/us-news/zohran-mamdanis-terror-suspect-imam-ally-once-called-america-filthy-and-sick/,2025-10-20,New York Post,Social Cause,Neutral,right
Miranda Devine: Zohran Mamdani's smiley meeting with terror-linked...,"It's hard to believe that 24 years after 9/11, New York City is on the brink of voting in a Uganda-born Islamist mayor who campaigned last week with an unindicted co-conspirator in the first World Trade Center terrorist attack that killed six New Yorkers. Three weeks before the election, polling ...",https://nypost.com/2025/10/19/opinion/miranda-devine-zohran-mamdanis-smiley-meeting-with-terror-linked-imam-is-just-his-latest-full-embrace-of-radical-islam/,2025-10-20,New York Post,Social Cause,Negative,right
"DeSantis predicts NYC 'turmoil' under Mamdani, says mayoral candidate sympathetic to 'communism, Islamism'","Florida Gov. Ron DeSantis joins 'Fox & Friends' to discuss the arrest of a Texas man charged in Florida for making antisemitic threats toward Jewish media figures. Florida Gov. Ron DeSantis issued a warning to New York amid the rise of Democratic mayoral nominee Zohran Mamdani, saying he believes ...",https://www.foxnews.com/media/desantis-predicts-nyc-turmoil-under-mamdani-calls-mayoral-candidate-sympathetic-communism-islamism,2025-10-22,Fox News,Social Cause,Negative,right
Fox News 'Antisemitism Exposed' Newsletter: Rabbis' stern Mamdani warning,"Sparks flew in a particularly tense moment in Wednesday's chaotic New York City mayoral debate, when Zohran Mamdani and Andrew Cuomo grilled each other on their hottest controversies. (Credit: Spectrum News NY1) Fox News' ""Antisemitism Exposed"" newsletter brings you stories on the rising ...",https://www.foxnews.com/us/fox-news-antisemitism-exposed-newsletter-hamas-give-peace-chance,2025-10-23,Fox News,Social Cause,Negative,right
Zohran Mamdani says Andrew Cuomo uses 'racist' attacks in NYC mayor's race,"Cuomo on Oct. 23 said Mamdani, 34, couldn't handle a crisis like the Sept. 11 terrorist attacks in the city nearly 25 years ago. Cuomo, running as an independent, appeared on the conservative radio show, ""Sid and Friends in the Morning,"" the morning after a heated final debate with Mamdani, the ...",https://www.yahoo.com/news/articles/zohran-mamdani-says-andrew-cuomo-233420211.html,2025-10-23,Yahoo,Social Cause,Negative,left
Cuomo invokes fears of Mamdani’s Muslim faith in final days of NYC mayoral race,"By Gloria Pazmino, CNN New York (CNN) &#8212; Andrew Cuomo kept up a late-campaign effort to raise fears about the Muslim faith of Zohran Mamdani, the front-runner in the New York City mayoral race, even laughing Thursday at the suggestion that Mamdani would cheer a terror attack like 9/11 were it to happen again. Cuomo,The post Cuomo invokes fears of Mamdani’s Muslim faith in final days of NYC mayoral race appeared first on News Channel 3-12.",https://keyt.com/politics/cnn-us-politics/2025/10/23/cuomo-invokes-fears-of-mamdanis-muslim-faith-in-final-days-of-nyc-mayoral-race/,2025-10-23,KEYT,Social Cause,Negative,center
Mamdani defends his Islamic faith and slams Cuomo in a tearful speech | CNN Politics,"Zohran Mamdani, the Democratic nominee for New York City mayor, stood outside a mosque Friday and slammed independent candidate Andrew Cuomo for laughing at the suggestion Mamdani would cheer a terror attack. ""I will not change who I am, how I eat or the faith that I am proud to call my own,"" said ...",https://us.cnn.com/2025/10/24/politics/zohran-mamdani-islam-cuomo,2025-10-24,CNN,Social Cause,Positive,left
Zohran Mamdani decries attacks in emotional speech about Islamophobia in NYC,"Zohran Mamdani decries attacks in emotional speech about Islamophobia in NYC Alexandra Marquez Updated October 24, 2025 at 8:56 PM 0 One day before early voting begins in the New York mayoral race, Democratic nominee Zohran Mamdani condemned the ""racist, baseless"" attacks he's faced in recent ...",https://www.aol.com/articles/zohran-mamdani-decries-racist-baseless-185644687.html,2025-10-24,AOL,Social Cause,Neutral,left
Mamdani defends his Islamic faith and slams Cuomo in a tearful speech,"Zohran Mamdani, the Democratic nominee for New York City mayor, stood outside a mosque Friday and slammed independent candidate Andrew Cuomo for laughing at the suggestion Mamdani would cheer a terror attack. ""I will not change who I am, how I eat or the faith that I am proud to call my own,"" said ...",https://edition.cnn.com/2025/10/24/politics/zohran-mamdani-islam-cuomo,2025-10-24,CNN,Social Cause,Positive,left
"In emotional speech, Zohran Mamdani defends Muslim identity against ‘racist and baseless’ attacks","NEW YORK (AP) — Zohran Mamdani, the Democratic nominee for New York City mayor, pledged Friday to further embrace his&#8230;",https://wtop.com/national/2025/10/in-emotional-speech-zohran-mamdani-defends-muslim-identity-against-racist-and-baseless-attacks/,2025-10-24,WTOP,Social Cause,Positive,center
Mamdani Says His Rivals Are Pushing Hate in Final Days of N.Y.C. Mayoral Election,"Assemblyman Zohran Mamdani spoke about the impact of Islamophobia on his family during a campaign event in the Bronx. At a mayoral debate earlier this week, his...",https://www.nytimes.com/video/us/politics/100000010480722/mamdani-nyc-mayoral-election-condems-hate.html,2025-10-25,The New York Times,Social Cause,Positive,left
Zohran Mamdani's new low: pretending HE'S a victim of 9/11,"How self-damning that Zohran Mamdani's chief takeaway from 9/11 is that it supposedly triggered a horrible wave of ""Islamophobia"": What utter dreck. Of course ordinary Muslims bear no blame for the extremists who carried out those terror attacks, killing some 3,000 innocents: The overwhelming ...",https://nypost.com/2025/10/26/opinion/zohran-mamdanis-new-low-pretending-hes-a-victim-of-9-11/,2025-10-26,New York Post,Social Cause,Negative,right
Old clip resurfaces as Mamdani takes heat for claiming Muslim victimhood after 9/11,'The Big Weekend Show' panel unpacks the state of of the New York City mayoral race. New York City mayoral candidate Zohran Mamdani is facing criticism over a resurfaced video of him claiming to be the victim of anti-Muslim discrimination in the wake of the Sept. 11 terrorist attacks. The video ...,https://www.foxnews.com/politics/old-clip-resurfaces-mamdani-takes-heat-claiming-muslim-victimhood-after-9-11,2025-10-26,Fox News,Social Cause,Negative,right
Would Kathy Hochul have the guts to boot Zohran Mamdani if his plans...,"If Zohran Mamdani is elected mayor and implements the changes he promises, expect the city's financial condition and public safety to deteriorate rapidly. Think criminal bedlam, antisemitic rioters allowed full rein and cutbacks to basic city services. In such a crisis, desperate New Yorkers will ...",https://nypost.com/2025/10/26/opinion/would-hochul-have-the-guts-to-boot-mamdani-if-he-wrecks-nyc/,2025-10-26,New York Post,Social Cause,Positive,right
‘He did campaign with a terrorist’: Bill Maher warns Dems about serious threat posed by Zohran Mamdani,'This is not just New York that's on the ballot. I think the whole Democratic Party in the country is on the ballot',https://www.wnd.com/2025/10/he-did-campaign-terrorist-bill-maher-warns-dems/?utm_source=rss&utm_medium=rss&utm_campaign=he-did-campaign-terrorist-bill-maher-warns-dems,2025-10-26,WND,Social Cause,Neutral,right
